Date,T2PP_Revenue,T2PP_Trans,Reservations_Revenue,Reservations_Bookings,Hub_Revenue,Hub_Trans,Valet_Rev,Valet_Trans
11/10/2018,23637.5,1169,10688,124,79747,3442,9210,75
11/11/2018,31455,1171,12961,153,150780.5,4298,14575,106
11/12/2018,28449.5,1219,15885,216,144529.5,4617,10640,99
11/13/2018,28695,1310,14930,206,121109.5,4766,11030,127
11/14/2018,43211.5,1464,14575,182,120493.5,5070,17560,209
11/15/2018,52760.5,1559,14317,173,158419.5,5934,26525,286
11/16/2018,57276,1877,15091,170,170240.5,6744,21460,201
11/17/2018,24530.5,1549,13888,154,87755.5,5662,8010,64
11/18/2018,33086.5,1505,12911,152,126699.5,5402,11070,88
11/19/2018,24108.5,1589,13910,168,103430.5,5584,11805,98
11/20/2018,23870.5,1674,15593,184,83857,5935,7570,87
11/21/2018,17601.5,1595,12087,151,64978,5560,4335,50
11/22/2018,7016.5,802,3499,42,36747,2692,3120,16
11/23/2018,23292,949,3906,46,118045.5,4027,8635,55
11/24/2018,37349,1345,5475,65,215222.5,5869,14815,84
11/25/2018,46263.5,1657,11523,158,196404,6680,14065,77
11/26/2018,27192,1219,12029,177,146466.5,4809,10160,87
11/27/2018,27587,1400,12100,182,118706.5,4798,7460,89
11/28/2018,30358.5,1552,8591,147,116161,4983,12695,158
11/29/2018,40966.5,1640,11316,165,144918,5515,19440,209
11/30/2018,49184,1513,8771,128,140972.5,4622,15400,158
12/1/2018,19441,1133,8331,110,85440.5,3386,8975,73
12/2/2018,29621,1189,14740,201,129520.5,4147,13940,113
12/3/2018,25374.5,1031,13994,189,95761,3788,10270,95
12/4/2018,22011.5,995,9278,140,93535.5,3835,11125,135
12/5/2018,32753,1200,13339,188,110439,4414,16240,207
12/6/2018,42426.5,1350,12430,167,144041.5,4916,21280,232
12/7/2018,43223.5,1265,9490,138,160358.5,4923,17415,181
12/8/2018,20634,996,7823,98,82327.5,3247,8445,76
12/9/2018,30835,1045,10394,137,128622.5,3911,13830,109
12/10/2018,21871,963,13295,199,99084.5,3865,9075,101
12/11/2018,26571,1271,11348,150,101300.5,4576,11040,146
12/12/2018,38228.5,1374,9335,145,114254,4794,16185,187
12/13/2018,47889.5,1515,12648,161,131304.5,5287,19905,213
12/14/2018,45448.5,1672,13249,165,160477.5,5984,19770,188
12/15/2018,23445.5,1498,9078,98,73740.5,4606,7070,70
